module,cell_type,tissue_a,tissue_b,n_shared_donors,spearman
score_NOX_SYSTEM,B cell,adipose tissue,blood,4,-0.39999999999999997
score_NOX_SYSTEM,B cell,blood,lymph node,4,-0.39999999999999997
score_NOX_SYSTEM,B cell,blood,spleen,4,0.7999999999999999
score_NOX_SYSTEM,B cell,bone marrow,endocrine gland,5,0.9999999999999999
score_NOX_SYSTEM,B cell,bone marrow,lymph node,5,0.9999999999999999
score_NOX_SYSTEM,B cell,bone marrow,small intestine,4,1.0
score_NOX_SYSTEM,B cell,bone marrow,spleen,5,0.6
score_NOX_SYSTEM,B cell,endocrine gland,lymph node,5,0.9999999999999999
score_NOX_SYSTEM,B cell,endocrine gland,small intestine,4,1.0
score_NOX_SYSTEM,B cell,endocrine gland,spleen,5,0.6
score_NOX_SYSTEM,B cell,lymph node,small intestine,4,1.0
score_NOX_SYSTEM,B cell,lymph node,spleen,6,0.48571428571428577
score_NOX_SYSTEM,B cell,small intestine,spleen,4,0.19999999999999998
score_NOX_SYSTEM,BEST4+ enterocyte,colon,small intestine,4,-0.19999999999999998
score_NOX_SYSTEM,"CD4-positive, alpha-beta T cell",adipose tissue,bladder organ,4,0.7999999999999999
score_NOX_SYSTEM,"CD4-positive, alpha-beta T cell",adipose tissue,blood,5,0.09999999999999999
score_NOX_SYSTEM,"CD4-positive, alpha-beta T cell",adipose tissue,bone marrow,4,-0.19999999999999998
score_NOX_SYSTEM,"CD4-positive, alpha-beta T cell",adipose tissue,endocrine gland,4,0.7999999999999999
score_NOX_SYSTEM,"CD4-positive, alpha-beta T cell",adipose tissue,lymph node,4,0.7999999999999999
score_NOX_SYSTEM,"CD4-positive, alpha-beta T cell",adipose tissue,skin of body,4,0.7999999999999999
score_NOX_SYSTEM,"CD4-positive, alpha-beta T cell",adipose tissue,spleen,4,-0.39999999999999997
score_NOX_SYSTEM,"CD4-positive, alpha-beta T cell",adipose tissue,vasculature,4,-0.39999999999999997
score_NOX_SYSTEM,"CD4-positive, alpha-beta T cell",bladder organ,blood,5,-0.3
score_NOX_SYSTEM,"CD4-positive, alpha-beta T cell",bladder organ,bone marrow,4,-0.39999999999999997
score_NOX_SYSTEM,"CD4-positive, alpha-beta T cell",bladder organ,endocrine gland,5,0.6
score_NOX_SYSTEM,"CD4-positive, alpha-beta T cell",bladder organ,exocrine gland,4,-0.39999999999999997
score_NOX_SYSTEM,"CD4-positive, alpha-beta T cell",bladder organ,heart,4,0.7999999999999999
score_NOX_SYSTEM,"CD4-positive, alpha-beta T cell",bladder organ,lung,4,0.19999999999999998
score_NOX_SYSTEM,"CD4-positive, alpha-beta T cell",bladder organ,lymph node,5,0.6
score_NOX_SYSTEM,"CD4-positive, alpha-beta T cell",bladder organ,musculature,4,-0.7999999999999999
score_NOX_SYSTEM,"CD4-positive, alpha-beta T cell",bladder organ,spleen,5,-0.7
score_NOX_SYSTEM,"CD4-positive, alpha-beta T cell",bladder organ,vasculature,4,0.0
score_NOX_SYSTEM,"CD4-positive, alpha-beta T cell",blood,bone marrow,4,0.7999999999999999
score_NOX_SYSTEM,"CD4-positive, alpha-beta T cell",blood,endocrine gland,4,-0.19999999999999998
score_NOX_SYSTEM,"CD4-positive, alpha-beta T cell",blood,exocrine gland,4,0.0
score_NOX_SYSTEM,"CD4-positive, alpha-beta T cell",blood,lung,4,0.6000000000000001
score_NOX_SYSTEM,"CD4-positive, alpha-beta T cell",blood,lymph node,5,-0.09999999999999999
score_NOX_SYSTEM,"CD4-positive, alpha-beta T cell",blood,skin of body,4,0.39999999999999997
score_NOX_SYSTEM,"CD4-positive, alpha-beta T cell",blood,spleen,5,0.8999999999999998
score_NOX_SYSTEM,"CD4-positive, alpha-beta T cell",blood,vasculature,4,-0.6000000000000001
score_NOX_SYSTEM,"CD4-positive, alpha-beta T cell",bone marrow,endocrine gland,4,-0.39999999999999997
score_NOX_SYSTEM,"CD4-positive, alpha-beta T cell",bone marrow,lymph node,4,0.39999999999999997
score_NOX_SYSTEM,"CD4-positive, alpha-beta T cell",bone marrow,spleen,4,0.7999999999999999
score_NOX_SYSTEM,"CD4-positive, alpha-beta T cell",bone marrow,vasculature,4,-0.7999999999999999
score_NOX_SYSTEM,"CD4-positive, alpha-beta T cell",endocrine gland,exocrine gland,4,-0.19999999999999998
score_NOX_SYSTEM,"CD4-positive, alpha-beta T cell",endocrine gland,heart,4,0.6000000000000001
score_NOX_SYSTEM,"CD4-positive, alpha-beta T cell",endocrine gland,lymph node,5,0.3
score_NOX_SYSTEM,"CD4-positive, alpha-beta T cell",endocrine gland,spleen,5,-0.09999999999999999
score_NOX_SYSTEM,"CD4-positive, alpha-beta T cell",endocrine gland,vasculature,4,-0.19999999999999998
score_NOX_SYSTEM,"CD4-positive, alpha-beta T cell",exocrine gland,heart,4,0.19999999999999998
