group,n_raw,spread_raw,n_dc,spread_dc,spread_reduction
mononuclear phagocyte,3,1.5970623008485711,3,0.3352761067273365,0.7900669832672191
mural cell,4,0.6163013938227935,4,0.2235757544276346,0.6372298413267586
blood vessel smooth muscle cell,3,1.261169285700298,3,0.6710981677675694,0.4678762198090448
microglial cell,4,1.1530439978442162,4,0.6194376795353751,0.4627805350936268
erythroid progenitor cell,7,2.305638612595656,7,1.3142285895447667,0.42999367621397255
hematopoietic stem cell,7,1.6393936040244963,7,0.9361092048816944,0.42899057152372133
stromal cell of ovary,3,1.397582866007073,3,0.8214532833548532,0.41223286050882657
keratocyte,3,0.7926054816781529,3,0.4662906584274093,0.4116989231008722
conjunctival epithelial cell,4,2.1990686122539853,4,1.3048904755529755,0.40661675207327963
Mueller cell,3,1.4507468448422505,3,0.9668654509900609,0.3335395114402646
ovarian surface epithelial cell,3,1.8836037227640878,3,1.2825042849610504,0.3191220268565599
Schwann cell,4,1.76808779380525,4,1.2806444829795425,0.2756895401537951
retinal blood vessel endothelial cell,4,1.5308647139326772,4,1.2185178429927717,0.20403296783653058
acinar cell,3,3.0643098436138017,3,2.4772959918180195,0.19156478350880635
intrahepatic cholangiocyte,4,1.523576652540117,4,1.2326280971697035,0.19096417294485468
epithelial cell,3,0.8989594525484313,3,0.741963415763128,0.1746419555856945
tracheal goblet cell,5,1.7223292350785826,5,1.428769336837259,0.17044354369792125
leukocyte,3,3.488498070570655,3,2.9063669764562525,0.16687155398631948
mesenchymal stem cell,6,2.0303489465131905,6,1.697617288741895,0.1638790506147776
skeletal muscle satellite stem cell,6,2.3240482569250163,6,1.9446338786069086,0.1632558089908669
adventitial cell,6,1.073908917044733,6,0.9064886369243051,0.1558980258597238
endothelial cell of lymphatic vessel,25,1.7383505437324707,25,1.4919523514721482,0.14174252319171055
slow muscle cell,4,1.1949836067038657,4,1.0362364514342497,0.13284463015144599
ventricular cardiac muscle cell,4,2.23877785197001,4,1.949237575433345,0.12932961449564284
corneal epithelial cell,3,1.206145878914427,3,1.0502040841009834,0.12928933186240843
basal cell of prostate epithelium,3,1.180137119520712,3,1.0319582141630468,0.1255607529893179
basal cell,21,2.596818598027441,21,2.3091103518015643,0.11079258537520553
"naive thymus-derived CD8-positive, alpha-beta T cell",8,1.289759976833822,8,1.152931812811398,0.1060880834264355
pulmonary alveolar type 1 cell,4,2.3045345867504867,4,2.0677873603322623,0.10273103635734548
acinar cell of salivary gland,4,2.683660140931614,4,2.4174260938589733,0.09920557488334547
mesenchymal stem cell of adipose tissue,5,1.2670440112768484,5,1.1428800890826252,0.09799495604663211
fast muscle cell,6,2.0391415746202846,6,1.8421478918477001,0.09660618233889295
monocyte,58,2.1986693329445592,58,1.9903065600394425,0.09476767141972531
