module,pearson,spearman,n
score_MITO_ROS,0.9979568359061101,0.9971495224283475,12000
score_OXPHOS_MODULE,0.9977861515348025,0.9963236284309526,12000
score_NADPH_DEHYDROGENASES,0.9903177600741697,0.9900170397125985,12000
score_NOX_SYSTEM,0.9873172749391083,0.9833315646609834,12000
score_GLUTATHIONE_SYSTEM,0.9821488863429858,0.9829570623962237,12000
score_GLYCOLYSIS_MODULE,0.9774319642572322,0.9785070316379109,12000
score_THIOREDOXIN_SYSTEM,0.9528284718736486,0.9438660337626944,12000
score_FOXO_OXSTRESS,0.9289320838351817,0.9237162731870776,12000
score_PPP_MODULE,0.8915421893338111,0.9064609808917412,12000
score_CATALASE_PEROXISOME,0.931582320675994,0.8936082358363967,12000
score_NRF2_TARGETS,0.9121475660087773,0.8743620233603112,12000
score_SOD_SYSTEM,0.2715127934020114,0.13077970758129948,12000
