,variance
score_SOD_SYSTEM,0.12547866188726745
score_FOXO_OXSTRESS,0.11101673232667933
score_OXPHOS_MODULE,0.09340341235348645
score_MITO_ROS,0.07848181283818718
score_THIOREDOXIN_SYSTEM,0.0722058072236354
score_GLYCOLYSIS_MODULE,0.06357259318234552
score_NRF2_TARGETS,0.06029489018064651
score_PPP_MODULE,0.042520736549978774
score_GLUTATHIONE_SYSTEM,0.03574884972845486
score_NOX_SYSTEM,0.020806528168453593
score_CATALASE_PEROXISOME,0.020216351255488103
score_NADPH_DEHYDROGENASES,0.019148686690195538
